Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.09092195103385E-18,0.0321638063426192,0.00145191927012034,0,0,0,12.8455748904513,0.625049233645234,1.94855339632518E-18,-2.93387860315225E-17,0.798889835201529,0.000413371338955772,0.213323829100684,0,0,0,0,0,0,package://car_assem4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/base_link.STL,,chassis2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_arm_link,0.0651933914576135,-0.025,0.039915225662416,0,0,0,0.939491118430775,0.00323160730926106,-3.64873436162627E-20,0.00244475217966051,0.00940297439326515,1.90402896489679E-20,0.00652191556233996,0,0,0,0,0,0,package://car_assem4/meshes/right_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/right_arm_link.STL,,front control arm-1,Origin_right_arm_joint,Axis_right_arm_joint,right_arm_joint,revolute,0.2,0.23,0,1.5708,0,0,base_link,0,1,0,0,0,-0.7854,0.7854,,,,,,,,
right_front_wheel_link,0.0375,0,5.55111512312578E-17,0,0,0,2.18704107668104,0.0115233152620549,-3.42407737826659E-19,-1.00027537860588E-18,0.0067868331357217,1.24683249835833E-18,0.00678683313572171,0,0,0,0,0,0,package://car_assem4/meshes/right_front_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/right_front_wheel_link.STL,,wheel2-1,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,0.175,-0.025,0,0.07760112075581,0,0,right_arm_link,1,0,0,,,,,,,,,,,,
left_arm_link,0.0651933914576135,0.025,0.039915225662416,0,0,0,0.939491118430775,0.00323160730926106,-2.52715101717941E-19,0.00244475217966051,0.00940297439326515,2.04916396109978E-21,0.00652191556233996,0,0,0,0,0,0,package://car_assem4/meshes/left_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/left_arm_link.STL,,front control arm-2,Origin_left_arm_joint,Axis_left_arm_joint,left_arm_joint,revolute,-0.2,0.23,0,-1.5708,0,3.1416,base_link,0,1,0,0,0,-0.7854,0.7854,,,,,,,,
left_front_wheel_link,-0.0374999999999999,1.04083408558608E-17,2.77555756156289E-17,0,0,0,2.18704107668104,0.0115233152620549,-3.5594612411811E-21,-1.59435601226663E-20,0.00678683313572171,7.94093388050906E-19,0.00678683313572171,0,0,0,0,0,0,package://car_assem4/meshes/left_front_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/left_front_wheel_link.STL,,wheel2-2,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,0.175,0.025,0,0,0,3.14159265358979,left_arm_link,1,0,0,,,,,,,,,,,,
back_axle_link,-1.11022302462516E-16,3.46944695195361E-18,0,0,0,0,2.00398223686155,0.00075893987653666,7.94093388050907E-20,8.40123999184203E-19,0.12399586283278,-8.27180612553019E-22,0.123990103246249,0,0,0,0,0,0,package://car_assem4/meshes/back_axle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/back_axle_link.STL,,back axle-1,Origin_back_axle_joint,,back_axle_joint,fixed,0,-0.27,-0.025,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
back_right_wheel_link,0.0375,-5.55111512312578E-17,-2.77555756156289E-17,0,0,0,2.18704107668104,0.0115233152620549,-1.56834238362617E-19,3.41993140725428E-20,0.00678683313572171,-2.60208521396521E-18,0.00678683313572171,0,0,0,0,0,0,package://car_assem4/meshes/back_right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/back_right_wheel_link.STL,,wheel2-4,Origin_back_right_wheel_joint,Axis_back_right_wheel_joint,back_right_wheel_joint,continuous,0.375,0,0,1.05095356071944,0,0,back_axle_link,1,0,0,,,,,,,,,,,,
back_left_wheel_link,-0.0374999999999999,-1.04083408558608E-17,-5.55111512312578E-17,0,0,0,2.18704107668104,0.0115233152620549,-1.41479709179756E-19,-9.11470687739285E-20,0.00678683313572171,-3.67268191973544E-19,0.00678683313572171,0,0,0,0,0,0,package://car_assem4/meshes/back_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/back_left_wheel_link.STL,,wheel2-3,Origin_back_left_wheel_joint,Axis_back_left_wheel_joint,back_left_wheel_joint,continuous,-0.375,0,0,0,0,0,back_axle_link,1,0,0,,,,,,,,,,,,
trailer_body_link,1.40520811834791E-16,0.0153059735469873,0.438714794679746,0,0,0,7.71727875959474,0.189109748166744,-2.93154904122919E-19,-2.26161238742952E-17,0.344210482149803,0.000844263187931335,0.156272622704335,0,0,0,0,0,0,package://car_assem4/meshes/trailer_body_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/trailer_body_link.STL,,trailer body-1,Origin_trailer_body_joint,Axis_trailer_body_joint,trailer_body_joint,revolute,0,-0.4,0,1.5708,0,0,base_link,0,1,0,0,0,-0.69813,0.69813,,,,,,,,
trailer_axle_link,1.11022302462516E-16,3.46944695195361E-18,0,0,0,0,2.00398223686155,0.000758939876536661,-1.98523347012727E-20,8.40415502353876E-19,0.12399586283278,9.92616735063633E-21,0.123990103246249,0,0,0,0,0,0,package://car_assem4/meshes/trailer_axle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem4/meshes/trailer_axle_link.STL,,back axle-2,Origin_trailer_axle_joint,,trailer_axle_joint,fixed,0,-0.025,0.45,0,0,0,trailer_body_link,0,0,0,,,,,,,,,,,,
