Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.71298564605664E-18,0.0321638063426192,0.00145191927012034,0,0,0,12.8455748904513,0.625049233645234,1.92804480905926E-18,-2.9337095024267E-17,0.798889835201529,0.000413371338955771,0.213323829100684,0,0,0,0,0,0,package://car_assem3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/base_link.STL,,chassis2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rca,0.0651933914576131,-0.035,0.0399152256624165,0,0,0,0.939491118430776,0.00323160730926106,-3.27491033371768E-20,0.00244475217966051,0.00940297439326515,1.77807311598556E-20,0.00652191556233996,0,0,0,0,0,0,package://car_assem3/meshes/rca.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/rca.STL,,front control arm-1,Origin_rca2,Axis_rca2,rca,revolute,0.2,0.23,0.01,1.5708,0,0,base_link,0,1,0,0,0,-0.7854,0.7854,,,,,,,,
frw,0.037506268697997,-0.01,0.00391515814537721,0,0,0,2.18704107668104,0.0115233152620549,-2.82470651275316E-20,-1.52490828967712E-19,0.00678683313572171,-1.01577779221512E-18,0.00678683313572171,0,0,0,0,0,0,package://car_assem3/meshes/frw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/frw.STL,,wheel2-1,Origin_frw2,Axis_frw2,frw,continuous,0.17499,-0.025,-0.0039152,0,0,0,rca,1,0,0,,,,,,,,,,,,
lca,0.0651933914576132,0.015,0.0399152256624163,0,0,0,0.939491118430776,0.00323160730926106,-5.49540559275752E-19,0.0024447521796605,0.00940297439326516,3.6428717664769E-19,0.00652191556233998,0,0,0,0,0,0,package://car_assem3/meshes/lca.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/lca.STL,,front control arm-2,Origin_lca2,Axis_lca2,lca,revolute,-0.2,0.23,-0.01,-1.5708,0,3.1416,base_link,0,1,0,0,0,-0.7854,0.7854,,,,,,,,
flw,-0.0380224438486342,-0.00999999999999999,0.000455447960069105,0,0,0,2.18704107668104,0.0115233152620549,-7.27840407871417E-20,6.06025576123426E-20,0.00678683313572171,5.75717706336907E-19,0.00678683313572171,0,0,0,0,0,0,package://car_assem3/meshes/flw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/flw.STL,,wheel2-2,Origin_flw2,Axis_flw2,flw,continuous,0.174477556151366,0.00500000000000001,-0.000455447960068578,0,0,3.14159265358979,lca,1,0,0,,,,,,,,,,,,
back axle,-1.11022302462516E-16,-0.01,0,0,0,0,2.00398223686155,0.00075893987653666,8.60267837055149E-20,8.40123999184203E-19,0.12399586283278,-4.13590306276507E-22,0.123990103246249,0,0,0,0,0,0,package://car_assem3/meshes/back axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/back axle.STL,,back axle-1,Origin_back axle2,Axis_back axle,back axle,fixed,0,-0.27,-0.015,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
blw,-0.0374999999999999,-0.01,0,0,0,0,2.18704107668104,0.0115233152620549,-1.38463478069984E-19,-9.3582047013588E-20,0.00678683313572171,-3.70576914423756E-19,0.00678683313572171,0,0,0,0,0,0,package://car_assem3/meshes/blw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/blw.STL,,wheel2-3,Origin_blw2,Axis_blw2,blw,continuous,-0.375,0,0,0,0,0,back axle,1,0,0,,,,,,,,,,,,
brw,0.0375,-0.01,-5.55111512312578E-17,0,0,0,2.18704107668104,0.0115233152620549,-1.38463478069984E-19,-9.35820470135877E-20,0.00678683313572171,-3.70576914423756E-19,0.00678683313572171,0,0,0,0,0,0,package://car_assem3/meshes/brw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/brw.STL,,wheel2-4,Origin_brw2,Axis_brw2,brw,continuous,0.375,0,0,0,0,0,back axle,1,0,0,,,,,,,,,,,,
trailer body,1.40520811834791E-16,0.00530597354698728,0.438714794679746,0,0,0,7.71727875959474,0.189109748166744,-2.92962081988012E-19,-2.12566061738858E-17,0.344210482149803,0.000844263187931334,0.156272622704335,0,0,0,0,0,0,package://car_assem3/meshes/trailer body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/trailer body.STL,,trailer body-1,Origin_trailer body2,Axis_trailer body2,trailer body,revolute,0,-0.4,0.01,1.5708,0,0,base_link,0,1,0,0,0,-0.69813,0.69813,,,,,,,,
trailer axle,0.00452867662134583,-0.01,2.2788256931694E-05,0,0,0,2.00398223686155,0.000758939876536661,-2.64697796016969E-20,8.46741444084627E-19,0.12399586283278,1.03397576569128E-20,0.123990103246249,0,0,0,0,0,0,package://car_assem3/meshes/trailer axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_assem3/meshes/trailer axle.STL,,back axle-2,Origin_trailer axle2,Axis_trailer axle,trailer axle,fixed,-0.00452867662134572,-0.025,0.449977211743068,0,0,0,trailer body,0,0,0,,,,,,,,,,,,
