Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.86460855991498E-19,-2.12756797100531E-17,-0.425995488565801,0,0,0,90.5491893240932,3.48663798151639,2.67257961887655E-18,1.04271232501609E-17,3.48670868252581,-3.38870578284709E-16,3.81582853495264,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/base_link.STL,,round cart base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_arm_1,0.0102112642270262,0.0397887357729738,0,0,0,0,0.616850275068085,0.000758328898628989,-0.000117533258784041,-2.25875452601147E-20,0.000758328898628989,2.25875452601147E-20,0.000745594953422872,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_1.STL,,link1-1,Origin_joint_arm_1,Axis_joint_arm_1,joint_arm_1,continuous,0,0,0.01,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
link_arm_2,-0.425,0.0479521392077196,-5.04698321809284E-18,0,0,0,6.00499439277567,0.00644980256719211,-8.68208770935658E-18,1.35666243727304E-18,0.439844327950975,1.08332962219202E-18,0.439921069814824,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_2.STL,,link2-1,Origin_joint_arm_2,Axis_joint_arm_2,joint_arm_2,revolute,0.04995,0.0500000000000008,0,0,0,-1.5707963267949,link_arm_1,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
link_arm_3,-0.37499896693226,-0.0499499434508651,1.40926562802143E-08,0,0,0,5.36884463480403,0.00583223984122909,-0.00483062346048854,-1.96718551825591E-08,0.313371733808534,2.20564241042035E-08,0.313475132379175,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_3.STL,,link3-1,Origin_joint_arm_3,Axis_joint_arm_3,joint_arm_3,continuous,-0.85,0,0,-3.14159265358979,0,3.14159265358979,link_arm_2,0,1,0,,,,,,,,,,,,
link_arm_4,0.0557979256916667,0.0449730992840096,3.2724099398948E-17,0,0,0,1.25302278742002,0.00143510894590358,-0.000404675486049316,2.05699952076892E-19,0.00413540723242508,5.74154737412548E-20,0.00415532866573722,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_4.STL,,link4-1,Origin_joint_arm_4,Axis_joint_arm_4,joint_arm_4,continuous,-0.75,-0.09995,0,3.14159265358979,0,0,link_arm_3,0,1,0,,,,,,,,,,,,
link_arm_5,0.0102112642270262,-0.0397887357729738,-1.38777878078145E-17,0,0,0,0.616850275068085,0.000758328898628989,0.000117533258784041,2.25875452601147E-20,0.000758328898628989,4.43552749145502E-20,0.000745594953422872,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_arm_5.STL,,link1-2,Origin_joint_arm_5,Axis_joint_arm_5,joint_arm_5,revolute,0.15,0.05,0,1.5707963267949,-1.5707963267949,0,link_arm_4,0,1,0,0,0,0,3.1416,,,,,,,,
link_gripper_base,-5.55111512312578E-17,0.085172063756944,0,0,0,0,1.54618356156085,0.00394696586696142,1.29273910760298E-19,-3.8525989986861E-19,0.00418542418839053,1.59642784896773E-19,0.00580996586696143,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_base.STL,,gripper base-1,Origin_joint_gripper_base,Axis_joint_gripper_base,joint_gripper_base,continuous,0.0500000000000001,-0.05,0,3.14159265358979,0,1.5707963267949,link_arm_5,0,1,0,,,,,,,,,,,,
link_gripper_gear,-4.16333634234434E-17,-0.005,0,0,0,0,0.00510508806208342,3.74495843015815E-07,1.39004156150461E-22,3.11019910319938E-22,6.63906884996906E-07,1.19690917793767E-23,3.74495843015815E-07,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_gear.STL,,gripper gear-1,Origin_joint_gripper_gear,Axis_joint_gripper_gear,joint_gripper_gear,continuous,0,0.15,0,0,1.3304373783365,3.14159265358979,link_gripper_base,0,1,0,,,,,,,,,,,,
link_gripper_pad1,-0.0177631578947368,0.0426973684210525,-0.0651973684210526,0,0,0,0.114,0.000304591118421053,3.67253289473684E-05,-1.85032894736845E-06,9.59751644736843E-05,-3.25731907894737E-05,0.000302275164473684,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_pad1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_pad1.STL,,gripper pad-1,Origin_joint_gripper_pad1,Axis_joint_gripper_pad1,joint_gripper_pad1,prismatic,0,0.15,-0.025,0,1.5708,0,link_gripper_base,0,0,1,0,0,0,0.055,,,,,,,,
link_gripper_pad2,-0.0177631578947368,0.0426973684210526,-0.0651973684210526,0,0,0,0.114,0.000304591118421053,3.67253289473683E-05,-1.85032894736847E-06,9.59751644736843E-05,-3.25731907894737E-05,0.000302275164473685,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_pad2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly with gripper URDF attempt 7/meshes/link_gripper_pad2.STL,,gripper pad-3,Origin_joint_gripper_pad2,Axis_joint_gripper_pad2,joint_gripper_pad2,prismatic,0,0.15,0.025,0,-1.5708,0,link_gripper_base,0,0,1,0,0,0,0.055,,,,,,,,
